Episode,Hotspots,AverageDelay,DelayedFlights,AverageNonZeroDelay,epsilon,seconds,state,Total_delay
227,67,37.54961252089348,3318,74.47679324894514,0.724,52.947,[ 0 39  0 ...  0  0 91],247138
228,61,35.186597781492175,3087,75.01230968577907,0.724,51.77,[ 0  0  0 ...  0  0 79],231568
229,61,34.82935724054095,3149,72.78882184820579,0.724,51.653,[ 0  9  0 ...  0  0 83],229220
230,68,37.46132806564352,3294,74.84304796599879,0.716,54.776,[ 0  1  0 ...  0  0 87],246544
231,71,36.35101048472877,3168,75.51325757575758,0.716,53.907,[  0  18   0 ...   0   0 100],239238
232,65,36.060325178544296,3241,73.22215365627892,0.716,52.893,[  0  19   0 ...   0   0 100],237366
233,68,34.69229600364686,3092,73.83893919793015,0.716,52.906,[ 0 20  0 ...  0  0 88],228409
234,68,35.908068682571034,3129,75.52285075103867,0.716,52.559,[  0  76   0 ...   0   0 100],236380
235,64,37.41042394772831,3287,74.90051718892607,0.716,52.852,[ 20  20   0 ...   0   0 100],246233
236,69,37.60325178544294,3238,76.42588017294626,0.716,53.212,[ 0 20  0 ...  0  0 86],247584
237,70,36.22169882996505,3137,75.98820529167995,0.716,53.124,[30 10  0 ...  0  0 74],238525
238,71,35.42258015499164,3055,76.3063829787234,0.716,55.212,[ 0 42  0 ...  0  0 85],233260
239,64,34.81978422732107,3037,75.45242015146526,0.716,52.833,[  0  10   0 ...   0   0 100],229292
240,69,35.98769184014587,3145,75.30524642289348,0.708,54.763,[ 20  44   0 ...   0   0 100],237005
241,78,37.03008661297675,3178,76.68187539332914,0.708,56.04,[  0   8   0 ...   0   0 100],243795
242,68,35.562680443701566,3132,74.72477650063857,0.708,53.623,[  0  41   0 ...   0   0 100],234152
243,61,36.154839690016715,3194,74.49436443331246,0.708,52.013,[22 38  0 ...  0  0 82],237994
244,73,37.4780428506306,3212,76.78798256537982,0.708,55.086,[  0  18   0 ...   0   0 100],246672
245,71,34.44066251329585,3016,75.15053050397879,0.708,53.381,[ 0 20  0 ...  0  0 72],226715
246,62,36.501291597021726,3128,76.79507672634271,0.708,54.406,[  0  20   0 ...   0   0 100],240308
247,70,36.920680747606745,3139,77.40522459381968,0.708,54.665,[ 0 10  0 ...  0  0 91],243026
248,69,34.63121106214861,3043,74.89582648701939,0.708,53.807,[  0   1   0 ...   0   0 100],227943
249,70,35.35663273058805,3156,73.72686945500634,0.708,53.088,[  0  20   0 ...   0   0 100],232712
250,63,38.625284911107734,3351,75.85586392121755,0.7,52.39,[ 0  8  0 ...  0  0 84],254205
251,71,38.26348579243276,3311,76.0531561461794,0.7,53.757,[ 23  42   0 ...   0   0 100],251822
252,75,38.09952894696855,3225,77.74666666666667,0.7,54.228,[  0  42   0 ...   0   0 100],250750
253,63,37.78316365294028,3260,76.27331288343558,0.7,53.585,[23 32  0 ...  0  0 77],248661
254,71,36.791672998024616,3117,77.67917869746552,0.7,54.593,[ 0  1  0 ...  0  0 79],242159
255,71,37.99057893937091,3254,76.83343577135832,0.7,54.559,[ 0  1  0 ...  0  0 83],250073
256,68,35.25649597325634,3115,74.48571428571428,0.7,52.79,[  0  20   0 ...   0   0 100],232123
257,68,34.57605227169123,3001,75.82305898033988,0.7,53.151,[ 0 40  0 ...  0  0 74],227625
258,70,37.72663728916578,3216,77.2011815920398,0.7,53.701,[ 0 38  0 ...  0  0 83],248329
259,69,38.44962771615256,3246,77.95348120764017,0.7,53.972,[23 84  0 ...  0  0 69],253065
260,67,36.84394468925695,3204,75.6772784019975,0.692,52.915,[23  0  0 ...  0  0 69],242499
261,65,36.933292812642456,3178,76.48143486469478,0.692,53.572,[  0  10   0 ...   0   0 100],243132
262,65,37.35678468317885,3207,76.65887121920798,0.692,53.551,[10 20  0 ...  0  0 89],245937
263,68,38.172010332776175,3264,76.96384803921569,0.692,54.102,[  0  10   0 ...   0   0 100],251267
264,74,38.48472876462544,3303,76.67817135937027,0.692,54.291,[  0  10   0 ...   0   0 100],253312
265,69,37.625284911107734,3133,79.03351420363869,0.692,55.186,[  0  20   0 ...   0   0 100],247715
266,67,36.122929645950464,3168,75.03945707070707,0.692,52.615,[30 10  0 ...  0  0 94],237836
267,70,34.89378513903662,3167,72.5089990527313,0.692,53.493,[  0  39   0 ...   0   0 100],229739
